,date,Net_Inflow,LOSA_dmd_SFWMM,C44RO,C43RO,Cutback,Stage,Storage,S77_Q,S308_Q,S77EW,TotRegEW,TotRegSo
0,2007-12-30,284.8107652,,,,0,10.268,2126904.0,0,0,0,0,0
1,2007-12-31,354.7688102,,,,0,10.268,2126904.0,0,0,0,0,0
2,2008-01-01,324.0840652,947.12,56.00000003,0.0,0.0,10.268,2126904.0,0.0,0,0.0,0.0,0.0
3,2008-01-02,422.7235203,2937.48,51.00000003,0.0,1482.1014285714284,10.152143412539424,2088903.039312931,0.0,0,0.0,0.0,0.0
4,2008-01-03,200.2343251,1659.86,15.0,0.0,204.4814285714283,9.97993762997291,2032780.6652916025,0.0,0,0.0,0.0,0.0
5,2008-01-04,-23.80200001,1479.63,0.0,0.0,24.251428571428505,10.119381288787086,2078157.062722164,0.0,0,0.0,0.0,0.0
6,2008-01-05,223.6594601,1641.73,0.0,23.0,186.35142857142841,10.130874615552242,2081926.8739011353,0.0,0,0.0,0.0,0.0
7,2008-01-06,299.1316352,2027.78,53.00000002,80.0,572.4014285714284,10.132068609095354,2082318.5037832763,0.0,0,0.0,0.0,0.0
8,2008-01-07,233.3984452,1950.04,0.0,8.4,494.66142857142836,10.13588909241478,2083571.6223120478,0.0,0,0.0,0.0,0.0
9,2008-01-08,146.9971851,2652.09,0.0,0.0,1194.1971428571428,10.135016583704283,2083285.4394550049,0.0,0,0.0,0.0,0.0
10,2008-01-09,243.5738002,2387.32,0.0,16.0,929.4271428571428,10.125267222859945,2080087.649098062,0.0,0,0.0,0.0,0.0
11,2008-01-10,282.6090802,2560.49,0.0,0.0,1102.5971428571424,10.125705326953717,2080231.3472408191,0.0,0,0.0,0.0,0.0
12,2008-01-11,218.7998851,2450.23,0.0,0.0,992.3371428571427,10.121466138365172,2078840.8933837763,0.0,0,0.0,0.0,0.0
13,2008-01-12,485.7393153,1091.6,47.00000004,0.0,0.0,10.112138094866328,2075781.2951161556,0.0,0,0.0,0.0,0.0
14,2008-01-13,304.4275802,1532.68,93.00000007,0.0,74.78714285714273,10.115693310022413,2076947.4056873517,0.0,0,0.0,0.0,0.0
15,2008-01-14,313.0558052,3426.25,173.0000001,0.0,1968.3571428571427,10.067345290273193,2061089.2552096073,0.0,0,0.0,0.0,0.0
16,2008-01-15,209.4774351,3354.2,89.00000005,0.0,1886.5642857142852,10.03487080114488,2050437.6227755207,0.0,0,0.0,0.0,0.0
17,2008-01-16,165.6420851,2210.91,13.00000001,0.0,743.2742857142853,10.053412242488887,2056519.2155363548,0.0,0,0.0,0.0,0.0
18,2008-01-17,169.609085,699.22,19.00000003,0.0,0.0,10.061812634867726,2059274.5442366144,0.0,0,0.0,0.0,0.0
19,2008-01-18,218.5221951,300.91,131.0000001,0.0,0.0,10.049161320320863,2055124.9130652428,0.0,0,0.0,0.0,0.0
20,2008-01-19,477.6069653,142.95,85.00000006,96.0,0.0,10.060288894812993,2058774.7574986618,0.0,0,0.0,0.0,0.0
21,2008-01-20,521.1447903,33.96,389.0000002,0.0,0.0,10.031032017802922,2049178.5018393584,0.0,0,0.0,0.0,0.0
22,2008-01-21,719.6534704,1032.14,256.0000002,0.0,0.0,10.078054601439497,2064601.909272155,0.0,0,0.0,0.0,0.0
23,2008-01-22,471.6366303,669.89,0.0,124.0,0.0,10.084086030403826,2066580.217972455,0.0,0,0.0,0.0,0.0
24,2008-01-23,362.7821502,125.76,40.00000001,124.0,0.0,10.083147482154496,2066272.374146675,0.0,0,0.0,0.0,0.0
25,2008-01-24,487.7228152,926.7,49.00000004,64.0,0.0,10.074021029429739,2063278.8976529543,0.0,0,0.0,0.0,0.0
26,2008-01-25,411.0407053,851.91,195.0000001,565.0,0.0,10.051192587166014,2055791.1685904528,0.0,0,0.0,0.0,0.0
27,2008-01-26,316.0707252,614.32,69.00000004,1114.0,0.0,10.058415430895526,2058160.2613337322,0.0,0,0.0,0.0,0.0
28,2008-01-27,292.1497152,634.02,104.0000001,952.0,0.0,10.03393742459491,2050131.4752671304,0.0,0,0.0,0.0,0.0
29,2008-01-28,240.0035002,896.15,97.00000006,38.0,0.0,10.011042599672102,2042621.9726924493,0.0,0,0.0,0.0,0.0
30,2008-01-29,127.519215,1672.3,75.00000006,0.0,161.84285714285693,10.021235793639363,2045965.3403137112,0.0,0,0.0,0.0,0.0
